Name,Link
BSS00267,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00267.sub_VS_FINAL_WCE_BSS00267.pval.signal.bedgraph.gz.bigWig
BSS00270,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00270.sub_VS_FINAL_WCE_BSS00270.pval.signal.bedgraph.gz.bigWig
BSS00273,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00273.sub_VS_FINAL_WCE_BSS00273.pval.signal.bedgraph.gz.bigWig
BSS00287,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00287.sub_VS_FINAL_WCE_BSS00287.pval.signal.bedgraph.gz.bigWig
BSS00296,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00296.sub_VS_FINAL_WCE_BSS00296.pval.signal.bedgraph.gz.bigWig
BSS00316,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00316.sub_VS_FINAL_WCE_BSS00316.pval.signal.bedgraph.gz.bigWig
BSS00318,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00318.sub_VS_FINAL_WCE_BSS00318.pval.signal.bedgraph.gz.bigWig
BSS00341,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00341.sub_VS_FINAL_WCE_BSS00341.pval.signal.bedgraph.gz.bigWig
BSS00476,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00476.sub_VS_FINAL_WCE_BSS00476.pval.signal.bedgraph.gz.bigWig
BSS00512,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00512.sub_VS_FINAL_WCE_BSS00512.pval.signal.bedgraph.gz.bigWig
BSS00513,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00513.sub_VS_FINAL_WCE_BSS00513.pval.signal.bedgraph.gz.bigWig
BSS00525,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00525.sub_VS_FINAL_WCE_BSS00525.pval.signal.bedgraph.gz.bigWig
BSS00715,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00715.sub_VS_FINAL_WCE_BSS00715.pval.signal.bedgraph.gz.bigWig
BSS00716,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00716.sub_VS_FINAL_WCE_BSS00716.pval.signal.bedgraph.gz.bigWig
BSS00717,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00717.sub_VS_FINAL_WCE_BSS00717.pval.signal.bedgraph.gz.bigWig
BSS00737,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00737.sub_VS_FINAL_WCE_BSS00737.pval.signal.bedgraph.gz.bigWig
BSS00739,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS00739.sub_VS_FINAL_WCE_BSS00739.pval.signal.bedgraph.gz.bigWig
BSS01124,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01124.sub_VS_FINAL_WCE_BSS01124.pval.signal.bedgraph.gz.bigWig
BSS01125,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01125.sub_VS_FINAL_WCE_BSS01125.pval.signal.bedgraph.gz.bigWig
BSS01126,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01126.sub_VS_FINAL_WCE_BSS01126.pval.signal.bedgraph.gz.bigWig
BSS01159,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01159.sub_VS_FINAL_WCE_BSS01159.pval.signal.bedgraph.gz.bigWig
BSS01168,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01168.sub_VS_FINAL_WCE_BSS01168.pval.signal.bedgraph.gz.bigWig
BSS01190,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01190.sub_VS_FINAL_WCE_BSS01190.pval.signal.bedgraph.gz.bigWig
BSS01213,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01213.sub_VS_FINAL_WCE_BSS01213.pval.signal.bedgraph.gz.bigWig
BSS01272,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01272.sub_VS_FINAL_WCE_BSS01272.pval.signal.bedgraph.gz.bigWig
BSS01282,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01282.sub_VS_FINAL_WCE_BSS01282.pval.signal.bedgraph.gz.bigWig
BSS01283,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01283.sub_VS_FINAL_WCE_BSS01283.pval.signal.bedgraph.gz.bigWig
BSS01287,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01287.sub_VS_FINAL_WCE_BSS01287.pval.signal.bedgraph.gz.bigWig
BSS01319,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01319.sub_VS_FINAL_WCE_BSS01319.pval.signal.bedgraph.gz.bigWig
BSS01332,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01332.sub_VS_FINAL_WCE_BSS01332.pval.signal.bedgraph.gz.bigWig
BSS01377,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01377.sub_VS_FINAL_WCE_BSS01377.pval.signal.bedgraph.gz.bigWig
BSS01390,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01390.sub_VS_FINAL_WCE_BSS01390.pval.signal.bedgraph.gz.bigWig
BSS01397,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01397.sub_VS_FINAL_WCE_BSS01397.pval.signal.bedgraph.gz.bigWig
BSS01423,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01423.sub_VS_FINAL_WCE_BSS01423.pval.signal.bedgraph.gz.bigWig
BSS01431,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01431.sub_VS_FINAL_WCE_BSS01438.pval.signal.bedgraph.gz.bigWig
BSS01441,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01441.sub_VS_FINAL_WCE_BSS01441.pval.signal.bedgraph.gz.bigWig
BSS01446,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01446.sub_VS_FINAL_WCE_BSS01446.pval.signal.bedgraph.gz.bigWig
BSS01545,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01545.sub_VS_FINAL_WCE_BSS01545.pval.signal.bedgraph.gz.bigWig
BSS01548,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01548.sub_VS_FINAL_WCE_BSS01548.pval.signal.bedgraph.gz.bigWig
BSS01562,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01562.sub_VS_FINAL_WCE_BSS01562.pval.signal.bedgraph.gz.bigWig
BSS01574,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01574.sub_VS_FINAL_WCE_BSS01574.pval.signal.bedgraph.gz.bigWig
BSS01578,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01578.sub_VS_FINAL_WCE_BSS01578.pval.signal.bedgraph.gz.bigWig
BSS01588,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01588.sub_VS_FINAL_WCE_BSS01588.pval.signal.bedgraph.gz.bigWig
BSS01612,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01612.sub_VS_FINAL_WCE_BSS01612.pval.signal.bedgraph.gz.bigWig
BSS01631,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01631.sub_VS_FINAL_WCE_BSS01631.pval.signal.bedgraph.gz.bigWig
BSS01659,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01659.sub_VS_FINAL_WCE_BSS01659.pval.signal.bedgraph.gz.bigWig
BSS01667,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01667.sub_VS_FINAL_WCE_BSS01667.pval.signal.bedgraph.gz.bigWig
BSS01676,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01676.sub_VS_FINAL_WCE_BSS01676.pval.signal.bedgraph.gz.bigWig
BSS01712,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01712.sub_VS_FINAL_WCE_BSS01712.pval.signal.bedgraph.gz.bigWig
BSS01714,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01714.sub_VS_FINAL_WCE_BSS01714.pval.signal.bedgraph.gz.bigWig
BSS01814,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01814.sub_VS_FINAL_WCE_BSS01814.pval.signal.bedgraph.gz.bigWig
BSS01820,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01820.sub_VS_FINAL_WCE_BSS01820.pval.signal.bedgraph.gz.bigWig
BSS01825,https://epigenome.wustl.edu/epimap/data/observed/FINAL_H3K9me3_BSS01825.sub_VS_FINAL_WCE_BSS01825.pval.signal.bedgraph.gz.bigWig
